Product_ID,Category,Subcategory,Unit_Price_INR
1000,Electronics,Mobile Phones,16915
1001,Electronics,Mobile Phones,38817
1002,Electronics,Mobile Phones,45041
1003,Electronics,Mobile Phones,32717
1004,Electronics,Mobile Phones,26876
1005,Electronics,Mobile Phones,37773
1006,Electronics,Mobile Phones,10159
1007,Electronics,Mobile Phones,49515
1008,Electronics,Mobile Phones,21305
1009,Electronics,Mobile Phones,39529
1010,Electronics,Mobile Phones,28915
1011,Electronics,Mobile Phones,23762
1012,Electronics,Mobile Phones,9686
1013,Electronics,Mobile Phones,23574
1014,Electronics,Mobile Phones,45125
1015,Electronics,Mobile Phones,7710
1016,Electronics,Mobile Phones,45421
1017,Electronics,Mobile Phones,38905
1018,Electronics,Mobile Phones,44894
1019,Electronics,Mobile Phones,35500
1020,Electronics,Mobile Phones,23369
1021,Electronics,Mobile Phones,47038
1022,Electronics,Mobile Phones,13322
1023,Electronics,Mobile Phones,44687
1024,Electronics,Mobile Phones,41060
1025,Electronics,Mobile Phones,26492
1026,Electronics,Mobile Phones,36901
1027,Electronics,Mobile Phones,4719
1028,Electronics,Mobile Phones,18487
1029,Electronics,Mobile Phones,8975
1030,Electronics,Mobile Phones,11779
1031,Electronics,Mobile Phones,20744
1032,Electronics,Mobile Phones,4566
1033,Electronics,Mobile Phones,37115
1034,Electronics,Mobile Phones,47475
1035,Electronics,Mobile Phones,18947
1036,Electronics,Mobile Phones,19956
1037,Electronics,Mobile Phones,24778
1038,Electronics,Mobile Phones,15850
1039,Electronics,Mobile Phones,34809
1040,Electronics,Televisions,45320
1041,Electronics,Televisions,15850
1042,Electronics,Televisions,19474
1043,Electronics,Televisions,39027
1044,Electronics,Televisions,13635
1045,Electronics,Televisions,23669
1046,Electronics,Televisions,36237
1047,Electronics,Televisions,4374
1048,Electronics,Televisions,38918
1049,Electronics,Televisions,41768
1050,Electronics,Televisions,34507
1051,Electronics,Televisions,48395
1052,Electronics,Televisions,39764
1053,Electronics,Televisions,1814
1054,Electronics,Televisions,1586
1055,Electronics,Televisions,48490
1056,Electronics,Televisions,18244
1057,Electronics,Televisions,43305
1058,Electronics,Televisions,28635
1059,Electronics,Televisions,28820
1060,Electronics,Televisions,20955
1061,Electronics,Televisions,18640
1062,Electronics,Televisions,36031
1063,Electronics,Televisions,22508
1064,Electronics,Televisions,47734
1065,Electronics,Televisions,27731
1066,Electronics,Televisions,2378
1067,Electronics,Televisions,7325
1068,Electronics,Televisions,5986
1069,Electronics,Televisions,14466
1070,Electronics,Televisions,34587
1071,Electronics,Televisions,22516
1072,Electronics,Televisions,47140
1073,Electronics,Televisions,21448
1074,Electronics,Televisions,25817
1075,Electronics,Televisions,49962
1076,Electronics,Televisions,49664
1077,Electronics,Televisions,5098
1078,Electronics,Televisions,35876
1079,Electronics,Televisions,49659
1080,Electronics,Laptops,13975
1081,Electronics,Laptops,4617
1082,Electronics,Laptops,15855
1083,Electronics,Laptops,39293
1084,Electronics,Laptops,8403
1085,Electronics,Laptops,12202
1086,Electronics,Laptops,36079
1087,Electronics,Laptops,46213
1088,Electronics,Laptops,35817
1089,Electronics,Laptops,47903
1090,Electronics,Laptops,47490
1091,Electronics,Laptops,20537
1092,Electronics,Laptops,47800
1093,Electronics,Laptops,16585
1094,Electronics,Laptops,37898
